id,name,category,description,when_to_use
1,SCAMPER,direction,"7 questions: Substitute, Combine, Adapt, Modify, Reuse, Eliminate, Reverse","Transform what already exists"
2,What If,direction,"Explore possibilities without limits","Break mental constraints"
3,First Principles,direction,"Remove all assumptions and start from zero","Question the foundations"
4,Cross-Pollination,direction,"Draw inspiration from other domains or industries","Find unexpected solutions"
5,Focus Group,users,"Simulate 4-5 types of users reacting","Understand user reactions"
6,Jobs to Be Done,users,"When [situation], I want [action], to [outcome]","Identify real needs"
7,Customer Support,users,"Simulate angry user + support","Test the robustness of the UX"
8,Six Thinking Hats,challenge,"6 perspectives: Facts, Emotions, Risks, Benefits, Creativity, Process","Explore from every angle"
9,Debate Club,challenge,"2 opposing positions, a moderator decides","Confront two directions"
10,Socratic Questioning,challenge,"Questions that reveal blind spots","Challenge the obvious"
11,Shark Tank,challenge,"Pitch the idea, agents stress-test it","Validate the solidity of an idea"
12,Pre-mortem,risk,"It failed in 6 months, why?","Anticipate failures before starting"
13,Five Whys,risk,"Ask why 5 times to find the root cause","Diagnose a recurring problem"
14,Chaos Monkey,risk,"Deliberately break to test resilience","Verify the robustness of the system"
15,Blue Sky,creation,"Ideal vision without constraints, then come back down","Open the field of possibilities"
16,Competitor Teardown,creation,"Analyze the competition to find the gaps","Differentiate"
17,User Wishlist,creation,"3 magic wishes from users","Identify deep expectations"
18,Tech Radar,creation,"Emerging technologies = new possibilities","Explore tech opportunities"
19,Concept Blending,creation,"Merge 2 existing ideas to create something new","Innovate by combination"
20,Dream Mockup,creation,"Draw the dream version BEFORE thinking about the code","Free the vision without technical constraint"
